Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platných hlasov,"Podiel platných hlasov z oprávnených volièov v %",Podiel platných hlasov z platných hlasov pre všetkých kandidátov v %,"Poèet platných hlasov v mestách a mestských èastiach","Podiel platných hlasov v mestách a mestských èastiach v %",Poèet platných hlasov v obciach,Podiel platných hlasov v obciach v %,Kandidát
2,Zuzana,Èaputová, 870 415,19.65,40.57, 554 487,46.18, 315 928,33.43,postupujúci
11,Maroš,Šefèoviè, 400 379,9.03,18.66, 212 899,17.73, 187 480,19.84,postupujúci
4,Štefan,Harabin, 307 823,6.95,14.34, 164 800,13.72, 143 023,15.13,
6,Marian,Kotleba, 222 935,5.03,10.39, 97 559,8.12, 125 376,13.26,
9,František,Mikloško, 122 916,2.77,5.72, 64 074,5.33, 58 842,6.22,
1,Béla,Bugár, 66 667,1.50,3.10, 23 539,1.96, 43 128,4.56,
7,Milan,Krajniak, 59 464,1.34,2.77, 29 715,2.47, 29 749,3.14,
5,Eduard,Chmelár, 58 965,1.33,2.74, 35 363,2.94, 23 602,2.49,
3,Martin,Daòo, 11 146,0.25,0.51, 5 797,0.48, 5 349,0.56,
12,Róbert,Švec, 6 567,0.14,0.30, 3 282,0.27, 3 285,0.34,
14,Juraj,Zábojník, 6 219,0.14,0.28, 3 319,0.27, 2 900,0.30,
15,Ivan,Zuzula, 3 807,0.08,0.17, 1 973,0.16, 1 834,0.19,
13,Bohumila,Tauchmannová, 3 535,0.07,0.16, 1 784,0.14, 1 751,0.18,
10,Robert,Mistrík, 3 318,0.07,0.15, 1 511,0.12, 1 807,0.19,X
8,József,Menyhárt, 1 208,0.02,0.05,  382,0.03,  826,0.08,X
